[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1223035272.812000 10/3/2008, 2:01:12 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1223037686.125,,4.849979e+004,1.999774e+000,-1.933540e-003,5.698880e-007,0.000000e+000,0.000000e+000,2,9.822062e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.649857e-004,0,,0,
1223037717.812,,4.731655e+004,1.999574e+000,-1.875099e-003,3.107425e-006,0.000000e+000,0.000000e+000,2,9.829018e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.239777e-004,0,,0,
1223037749.750,,4.613476e+004,1.999440e+000,-1.813281e-003,6.667187e-006,0.000000e+000,0.000000e+000,2,9.819320e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.860857e-004,0,,0,
1223037781.437,,4.495006e+004,1.999615e+000,-1.750960e-003,6.699373e-006,0.000000e+000,0.000000e+000,2,9.824410e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.029968e-004,0,,0,
1223037812.859,,4.376828e+004,1.999862e+000,-1.694313e-003,7.525435e-006,0.000000e+000,0.000000e+000,2,9.832779e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.059937e-004,0,,0,
1223037843.343,,4.258504e+004,1.999836e+000,-1.626546e-003,5.225468e-006,0.000000e+000,0.000000e+000,2,9.828490e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.059937e-004,0,,0,
1223037873.281,,4.140325e+004,1.999810e+000,-1.564169e-003,1.158215e-006,0.000000e+000,0.000000e+000,2,9.824823e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.430511e-004,0,,0,
1223037902.640,,4.022001e+004,1.999584e+000,-1.500762e-003,3.785396e-006,0.000000e+000,0.000000e+000,2,9.829053e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,8.201599e-005,0,,0,
1223037931.578,,3.903532e+004,1.999646e+000,-1.447756e-003,3.436121e-006,0.000000e+000,0.000000e+000,2,9.834230e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.869368e-004,0,,0,
1223037958.765,,3.785426e+004,1.999779e+000,-1.379220e-003,1.001235e-006,0.000000e+000,0.000000e+000,2,9.826956e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.103516e-005,0,,0,
1223037986.703,,3.667247e+004,2.000077e+000,-1.325343e-003,1.076852e-005,0.000000e+000,0.000000e+000,2,9.836863e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.440048e-004,0,,0,
1223038013.390,,3.548632e+004,2.000129e+000,-1.261556e-003,6.294780e-006,0.000000e+000,0.000000e+000,2,9.845178e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.198883e-005,0,,0,
1223038040.125,,3.430453e+004,1.999898e+000,-1.199826e-003,2.490698e-006,0.000000e+000,0.000000e+000,2,9.838642e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.198883e-005,0,,0,
