[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1222958089.968000 10/2/2008, 4:34:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1222972782.921,,1.000000e+002,6.305730e+001,-3.066013e-006,4.204451e-009,-1.663982e-003,1.889806e-003,3,9.037365e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.082687e-001,0,,0,
1222973018.718,,1.000000e+002,6.405116e+001,-3.064578e-006,5.328435e-009,9.261906e-006,2.137548e-003,3,9.064908e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.506989e-002,0,,0,
1222973266.187,,1.000000e+002,6.507439e+001,-3.085318e-006,1.018324e-008,1.352255e-003,1.315488e-003,3,9.034679e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.081467e-001,0,,0,
1222973501.187,,1.000000e+002,6.605915e+001,-3.092352e-006,1.597240e-008,7.989168e-004,2.120432e-004,3,9.052195e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.391785e-002,0,,0,
1222973745.468,,1.000000e+002,6.706957e+001,-3.100976e-006,5.853831e-009,-1.196090e-003,1.649518e-003,3,9.034654e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.227493e-001,0,,0,
1222973980.031,,1.000000e+002,6.806268e+001,-3.113470e-006,1.431724e-008,-2.556010e-004,1.346284e-003,3,9.045566e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.898376e-002,0,,0,
1222974217.859,,1.000000e+002,6.905305e+001,-3.116239e-006,1.311470e-008,-6.270710e-004,3.826938e-003,3,9.048390e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.920502e-002,0,,0,
1222974459.937,,1.000000e+002,7.005555e+001,-3.130103e-006,7.952377e-009,5.620549e-004,8.801573e-004,3,9.035137e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.506012e-002,0,,0,
1222974702.281,,1.000000e+002,7.105386e+001,-3.151624e-006,1.980320e-008,-4.960649e-004,9.811142e-004,3,9.045619e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.233292e-001,0,,0,
1222974937.562,,1.000000e+002,7.204137e+001,-3.143038e-006,2.452842e-009,-1.315626e-003,1.511752e-003,3,9.046928e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.150696e-002,0,,0,
1222975182.593,,1.000000e+002,7.305457e+001,-3.152060e-006,7.381279e-009,4.643288e-004,6.755604e-004,3,9.050471e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.215057e-001,0,,0,
1222975418.187,,1.000000e+002,7.404865e+001,-3.153218e-006,1.798598e-008,-1.655990e-003,1.318590e-003,3,9.062352e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.796692e-002,0,,0,
